"country","iso2c","iso3c","year","SH.XPD.CHEX.GD.ZS"
"Cuba","CU","CUB",2023,NA
"Cuba","CU","CUB",2022,NA
"Cuba","CU","CUB",2021,13.78727818
"Cuba","CU","CUB",2020,12.48639679
"Cuba","CU","CUB",2019,11.08496857
"Cuba","CU","CUB",2018,11.0184288
"Cuba","CU","CUB",2017,11.47197342
"Cuba","CU","CUB",2016,12.2177515
"Cuba","CU","CUB",2015,12.81401348
"Cuba","CU","CUB",2014,12.1412344
"Cuba","CU","CUB",2013,10.43099499
"Cuba","CU","CUB",2012,9.29940987
"Cuba","CU","CUB",2011,11.31298637
"Cuba","CU","CUB",2010,10.6880827
"Cuba","CU","CUB",2009,12.29053974
"Cuba","CU","CUB",2008,11.31422806
"Cuba","CU","CUB",2007,10.9674921
"Cuba","CU","CUB",2006,8.2719059
"Cuba","CU","CUB",2005,8.75525475
"Cuba","CU","CUB",2004,6.83178711
"Cuba","CU","CUB",2003,7.10295439
"Cuba","CU","CUB",2002,7.11481619
"Cuba","CU","CUB",2001,6.9820981
"Cuba","CU","CUB",2000,6.58189821
